#,Callsign,Reference Time,Ref Time (GMT +8),Actual Take off Time,Origin Info,Destination Info,Origin,Dest,Routing,Aircraft Type,Cruise Speed (knots),Max Ceiling (FL),Default RFL,Time Duration,Schedule Arrival Time,1
1,MI320,Departure,06:00:00,06:01:17,WSSS,WMKK,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,07:00:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
2,MH3381,Departure,09:55:00,09:56:04,WBGB,WBGG,(BTU),(KCH),WBGB_WBGG,AT72,275,250,FL250,01:00:00,10:55:00,"[WBGB,VBU,VSI,VKG,WBGG] "
3,MH3804,Departure,07:50:00,07:51:04,WBGB,WBGR,(BTU),(MYY),WBGB_WBGR,AT72,275,250,FL180,00:35:00,08:25:00,"[WBGB,VBU,VMI,WBGR]"
4,MH3461,Departure,11:20:00,11:21:04,WBGB,WBGS,(BTU),(SBW),WBGB_WBGS,AT72,275,250,FL140,00:35:00,11:55:00,"[WBGB,VBU,VSI,WBGS]"
5,MH3324,Departure,08:15:00,08:16:04,WBGB,WBKK,(BTU),(BKI),WBGB_WBKK,AT72,275,250,FL190,01:15:00,09:30:00,"[WBGB,VBU,VMI,BRU,VJN,WBKK]"
6,AK5247,Departure,09:20:00,09:21:16,WBGB,WMKK,(BTU),(KUL),WBGB_WMKK,A320,450,410,FL360,02:05:00,11:25:00,"[WBGB,VBU,AGDAB,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
7,AK6056,Departure,09:25:00,09:26:16,WBGG,WBGB,(KCH),(BTU),WBGG_WBGB,A320,450,410,FL270,01:00:00,10:25:00,"[WBGG,VKG,VSI,AGDAB,VBU,WBGB]"
8,AK6180,Departure,07:40:00,07:41:16,WBGG,WBGR,(KCH),(MYY),WBGG_WBGR,A320,450,410,FL330,01:00:00,08:40:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,WBGR]"
9,MH3690,Departure,06:15:00,06:16:04,WBGG,WBGS,(KCH),(SBW),WBGG_WBGS,AT72,275,250,FL140,00:45:00,07:00:00,"[WBGG,VKG,VSI,WBGS]"
10,AK6350,Departure,06:10:00,06:11:16,WBGG,WBKK,(KCH),(BKI),WBGG_WBKK,A320,450,410,FL370,01:30:00,07:40:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,BRU,VJN,WBKK]"
