#,Callsign,Origin,Dest,Routing,Destination Info,Origin Info,path
1,MI320,(SIN),(KUL),WSSS_WMKK,WMKK,WSSS,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
2,MH3381,(BTU),(KCH),WBGB_WBGG,WBGG,WBGB,"[WBGB,VBU,VSI,VKG,WBGG] "
3,MH3804,(BTU),(MYY),WBGB_WBGR,WBGR,WBGB,"[WBGB,VBU,VMI,WBGR]"
4,MH3461,(BTU),(SBW),WBGB_WBGS,WBGS,WBGB,"[WBGB,VBU,VSI,WBGS]"
5,MH3324,(BTU),(BKI),WBGB_WBKK,WBKK,WBGB,"[WBGB,VBU,VMI,BRU,VJN,WBKK]"
6,AK5247,(BTU),(KUL),WBGB_WMKK,WMKK,WBGB,"[WBGB,VBU,AGDAB,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
7,AK6056,(KCH),(BTU),WBGG_WBGB,WBGB,WBGG,"[WBGG,VKG,VSI,AGDAB,VBU,WBGB]"
8,AK6180,(KCH),(MYY),WBGG_WBGR,WBGR,WBGG,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,WBGR]"
9,MH3690,(KCH),(SBW),WBGG_WBGS,WBGS,WBGG,"[WBGG,VKG,VSI,WBGS]"
10,AK6350,(KCH),(BKI),WBGG_WBKK,WBKK,WBGG,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,BRU,VJN,WBKK]"
11,AK702,(SIN),(KUL),WSSS_WMKK,WMKK,WSSS,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
12,AK6059,(BTU),(KCH),WBGB_WBGG,WBGG,WBGB,"[WBGB,VBU,VSI,VKG,WBGG] "
13,MH3806,(BTU),(MYY),WBGB_WBGR,WBGR,WBGB,"[WBGB,VBU,KADMO,VMI,WBGR]"
14,MH3383,(BTU),(SBW),WBGB_WBGS,WBGS,WBGB,"[WBGB,VBU,VSI,WBGS]"
15,MH3326,(BTU),(BKI),WBGB_WBKK,WBKK,WBGB,"[WBGB,VBU,KADMO,BRU,VJN,WBKK]"
16,MH2743,(BTU),(KUL),WBGB_WMKK,WMKK,WBGB,"[WBGB,VBU,AGDAB,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
17,AK6058,(KCH),(BTU),WBGG_WBGB,WBGB,WBGG,"[WBGG,VKG,VSI,AGDAB,VBU,WBGB]"
18,MH642,(KCH),(MYY),WBGG_WBGR,WBGR,WBGG,"[WBGG,VKG,VSI,VBU,KADMO,VMI,WBGR]"
19,AK6468,(KCH),(SBW),WBGG_WBGS,WBGS,WBGG,"[WBGG,VKG,VSI,WBGS]"
20,MH2806,(KCH),(BKI),WBGG_WBKK,WBKK,WBGG,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,BRU,VJN,WBKK]"
21,AK5411,(KCH),(JHB),WBGG_WMKJ,WMKJ,WBGG,"[WBGG,VKG,NIMIX,TOMAN,HOSBA,VTK,VJR,WMKJ]"
22,MH2547,(KCH),(KUL),WBGG_WMKK,WMKK,WBGG,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
23,AK5231,(KCH),(KUL),WBGG_WMKK,WMKK,WBGG,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
24,AK5205,(KCH),(KUL),WBGG_WMKK,WMKK,WBGG,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
25,AK5209,(KCH),(KUL),WBGG_WMKK,WMKK,WBGG,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
